Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-04-29,1909.300048828125,104.59,119.4936,116.84539858135264,288.582,132.0,114.49164805622917,90.56712328767122,95.0,1909.300048828125,105.47,102.86,102.38571428571429,120.0703,118.0205,119.04025714285714
2022-04-30,1893.4667154947917,104.78666666666668,119.6233,116.0124917886195,289.48766666666666,87380.66666666667,115.00240387620157,90.59178082191781,95.0,1893.4667154947917,104.59,101.77333333333333,102.81619047619049,119.4936,118.2236,119.24021428571429
2022-05-01,1877.6333821614583,104.98333333333333,119.753,115.17958499588634,290.3933333333333,174629.33333333334,115.51315969617396,90.61643835616438,95.0,1877.6333821614583,104.78666666666668,100.68666666666667,103.42999999999999,119.6233,118.4267,119.42968571428571
2022-05-02,1861.800048828125,105.18,119.8827,114.3466782031532,291.299,261878.0,116.02391551614636,90.64109589041097,95.0,1861.800048828125,104.98333333333333,99.6,104.22714285714285,119.753,118.6298,119.60867142857141
2022-05-03,1868.800048828125,102.53,119.7037,113.56845406022296,291.299,466.0,115.37684494331016,90.66575342465754,95.0,1868.800048828125,105.18,102.62,104.21428571428571,119.8827,118.9658,119.71408571428572
2022-05-04,1867.0,107.84,119.5567,117.63434168772588,291.299,225.0,113.93237410978868,90.69041095890412,95.0,1867.0,102.53,101.96,105.05428571428573,119.7037,119.472,119.72618571428572
2022-05-05,1874.0,108.17,120.0043,118.67210708630049,291.299,768.0,116.96252727393696,90.71506849315068,95.0,1874.0,107.84,105.47,105.44000000000001,119.5567,120.0703,119.71675714285713
2022-05-06,1881.199951171875,109.72,119.8544,114.13923188909754,291.299,214.0,115.2900362211156,90.73972602739728,95.0,1881.199951171875,108.17,104.59,106.17285714285715,120.0043,119.4936,119.76829999999998
2022-05-07,1873.1666259765625,107.50666666666666,120.0679,115.88325209417627,291.299,122870.33333333333,115.0735680739017,90.76438356164385,95.0,1873.1666259765625,109.72,104.78666666666668,106.56142857142858,119.8544,119.6233,119.83181428571427
2022-05-08,1865.13330078125,105.29333333333334,120.2814,117.627272299255,291.299,245526.66666666666,114.85709992668781,90.78904109589043,95.0,1865.13330078125,107.50666666666666,104.98333333333333,106.60571428571428,120.0679,119.753,119.9073
2022-05-09,1857.0999755859375,103.08,120.4949,119.37129250433372,291.299,368183.0,114.6406317794739,90.813698630137,95.0,1857.0999755859375,105.29333333333334,105.18,106.30571428571429,120.2814,119.8827,119.99475714285714
2022-05-10,1839.9000244140625,99.74,120.7716,114.46931054420604,291.299,1540.0,115.14429462263648,90.83835616438355,95.0,1839.9000244140625,103.08,102.53,105.90714285714284,120.4949,119.7037,120.14731428571429
2022-05-11,1852.5999755859375,105.5,120.3896,115.09365804653102,291.299,892.0,116.67389025605128,90.86301369863013,95.0,1852.5999755859375,99.74,107.84,105.57285714285715,120.7716,119.5567,120.2663
